site,title,price,price_numeric,description,url,image_url,scraped_date
Brigitte Sauvager,"Nantes Canclaux, 101.44 m²",468 000 € F.A.I,468000,Appartement T4 duplex de 101.44 m² au dernier étage avec terrasse garage double environnement calme,https://www.brigitte-sauvager.com/appartement-t4-duplex-de-10144-m-10888-m-au-sol-au-dernier-etage-avec-terrasse-garage-double-environnement-calme,https://www.brigitte-sauvager.com/cms/310_218-Agence_Immobiliere_Nantes_Brigitte_Sauvager_Appartement_T4_Duplex_terrasse_garage11.jpg,2026-02-04
Brigitte Sauvager,"NANTES Centre, 47,96 m²",262 500 € F.A.I,262500,Canclaux/Procé T2 avec balcon SUD/OUEST sur Jardin,https://www.brigitte-sauvager.com/appartement-t2-avec-large-balcon-sud-ouest,https://www.brigitte-sauvager.com/cms/310_218-industriel-outdoor_terrace-gepetto.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 33 m²",149 400 € F.A.I,149400,Appartement T1 de 33 m² avec une terrasse de 10 m²  exposée Sud Ouest donnant  sur la Chézine,https://www.brigitte-sauvager.com/appartement-t1-de-33-m-avec-une-terrasse-de-10-m-exposee-sud-ouest-donnant-sur-la-chezine,https://www.brigitte-sauvager.com/cms/310_218-IMG_9715.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 135.5 m²",741 600 € F.A.I,741600,Appartement contemporain T5 traversant avec terrasse au 1er étage d'une résidence de grand standing,https://www.brigitte-sauvager.com/appartement-contemporain-t5-traversant-avec-terrasse-au-1er-etage-dune-residence-de-grand-standing,https://www.brigitte-sauvager.com/cms/310_218-agence_immobiliere_nantes_brigitte_sauvager_appartement_3_chambres_camus-23.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 95.48 m²",423 500 € F.A.I,423500,Appartement T4 de 95.48 m² 1er avec ascenseur environnement verdoyant calme dans avenue privée,https://www.brigitte-sauvager.com/appartement-t4-de-9548-m-au-premier-etage-avec-ascenseur-dans-un-environnement-verdoyant-au-calme-dune-avenue-privee,https://www.brigitte-sauvager.com/cms/310_218-Agence_immobiliere_nantes_brigitte_sauvager_appartement_3_chambres_avenue_privee4.jpg,2026-02-04
Brigitte Sauvager,"Nantes Guist'hau, 142 m²",624 000 € F.A.I,624000,Bel appartement T5 de 142 m² avec balcon sur jardin orienté Sud Ouest,https://www.brigitte-sauvager.com/bel-appartement-t5-de-142-m-avec-balcon-sur-jardin-oriente-sud-ouest,https://www.brigitte-sauvager.com/cms/310_218-IMG_5657.jpg,2026-02-04
Brigitte Sauvager,"Nantes Schuman, 68.51 m²",382 000 € F.A.I,382000,Appartement T3 duplex au 4e et dernier étage avec ascenseur,https://www.brigitte-sauvager.com/appartement-t3-duplex-au-4e-et-dernier-etage-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-californien-living_room-gepetto.jpg,2026-02-04
Brigitte Sauvager,"Nantes Guist'hau, 100 m²",520 000 € F.A.I,520000,Appartement T4 de 100 m² lumineux en étage élevé dans une résidence de standing,https://www.brigitte-sauvager.com/appartement-t4-de-100-m-lumineux-en-etage-eleve-dans-une-residence-de-standing,https://www.brigitte-sauvager.com/cms/310_218-WEBIMG_1715.jpg,2026-02-04
Brigitte Sauvager,"Nantes Copernic, 64.20 m²",283 500 € F.A.I,283500,Appartement T3 de 64 m² orienté Ouest avec parking dans une résidence de standing,https://www.brigitte-sauvager.com/appartement-t3-de-64-m-oriente-ouest-avec-parking-dans-une-residence-de-standing,https://www.brigitte-sauvager.com/cms/310_218-scandinave-living_room-gepetto_geslin.jpg,2026-02-04
Brigitte Sauvager,"Nantes Graslin, 161 m²",776 250 € F.A.I,776250,Magnifique appartement de caractère avec une vue imprenable sur la place et le théâtre,https://www.brigitte-sauvager.com/appartement-t4-161-m-vue-theatre-graslin,https://www.brigitte-sauvager.com/cms/310_218-Agence_immobiliere_Nantes_Brigitte_Sauvager_Appartement_T4_Graslin_14.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 140 m²",724 500 € F.A.I,724500,SOUS OFFRE - Appartement d'exception en dernier étage de 140 m² avec terrasses dans un immeuble de standing vues panoramiques,https://www.brigitte-sauvager.com/appartement-dexception-en-dernier-etage-de-140-m-160-m-au-sol-en-duplex-avec-terrasses-dans-un-immeuble-de-grand-standing-avec-vue-panoramique-sur-lenvironnement-verdoyant,https://www.brigitte-sauvager.com/cms/310_218-IMG_7275.jpg,2026-02-04
Brigitte Sauvager,"Nantes Talensac, 101.58 m²",490 000 € F.A.I,490000,Appartement T4 lumineux de standing au dernier étage d'une résidence récente avec double parking,https://www.brigitte-sauvager.com/appartement-t4-lumineux-de-standing-au-dernier-etage-dune-residence-recente-avec-double-parking,https://www.brigitte-sauvager.com/cms/310_218-IMG_3691.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 86 m²",367 500 € F.A.I,367500,"Appartement T3 de 86 m² avec terrasse, balcon et parking dans une résidence de standing avec ascenseur",https://www.brigitte-sauvager.com/appartement-t3-de-86-m-avec-terrasse-balcon-et-parking-dans-une-residence-de-standing-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_0082.jpg,2026-02-04
Brigitte Sauvager,"Nantes Gigant, 105.62 m²",436 800 € F.A.I,436800,Bel appartement de 105.62 m²  orienté Sud/Ouest dans un immeuble de caractère,https://www.brigitte-sauvager.com/bel-appartement-de-10562-m-oriente-sudouest-dans-un-immeuble-de-caractere,https://www.brigitte-sauvager.com/cms/310_218-IMG_6926.jpg,2026-02-04
Brigitte Sauvager,"Nantes Graslin, 168 m²",776 250 € F.A.I,776250,Bel appartement de caractère avec une vue imprenable sur la place et le théâtre orienté sud ouest,https://www.brigitte-sauvager.com/bel-appartement-de-caractere-avec-une-vue-imprenable-sur-la-place-et-le-theatre-oriente-sud-ouest,https://www.brigitte-sauvager.com/cms/310_218-IMG_8756.jpg,2026-02-04
Brigitte Sauvager,"Nantes Guist'hau, 78 m²",313 500 € F.A.I,313500,Appartement T3 avec balcon côté jardin orienté Sud Ouest à proximité des commerces de Copernic,https://www.brigitte-sauvager.com/appartement-t3-de-78-m-avec-balcon-cote-jardin-oriente-sud-ouest-a-proximite-des-commerces-de-copernic,https://www.brigitte-sauvager.com/cms/310_218-IMG_8217.jpg,2026-02-04
Brigitte Sauvager,"Nantes Camus, 49  m²",213 000 € F.A.I,213000,Appartement T2 de 49 m² en duplex avec terrasse vue dégagée sur la Chézine dernier étage avec ascenseur,https://www.brigitte-sauvager.com/appartement-t2-de-49-m-en-duplex-avec-une-terrasse-et-vue-degagee-sur-la-chezine-au-dernier-etage-avec-ascenseur-dun-immeuble-de-standing,https://www.brigitte-sauvager.com/cms/310_218-IMG_9640.jpg,2026-02-04
Brigitte Sauvager,"Nantes Boccage, 103 m²",551 200 € F.A.I,551200,Appartement T5 de 103 m² avec balcons en étage élevé avec ascenseur,https://www.brigitte-sauvager.com/appartement-t5-de-103-m-avec-balcons-en-etage-eleve-avec-ascenseur,https://www.brigitte-sauvager.com/cms/310_218-IMG_8570.jpg,2026-02-04
Graslin Immobilier,"Nantes Petit Port, 2 pièces - 39m² - 2Pièces",139000€,139000,Ancien,https://graslin-immobilier.com/ancien/nantes-petit-port-2-pieces/,https://graslin-immobilier.com/wp-content/uploads/saumonieres-512x296.png,2026-02-04
